GEO_ID,NAME,,P001001,,,,,,
id,Geographic Area Name,Zip Clean,Total,,,,,,Source
8710000US0693208,"ZCTA5 93208, California",93208,104,,,,,,
8710000US0693210,"ZCTA5 93210, California",93210,19504,,,,,,
8710000US0693219,"ZCTA5 93219, California",93219,10194,,,,,,
8710000US0693212,"ZCTA5 93212, California",93212,26079,,,,,,
8710000US0693215,"ZCTA5 93215, California",93215,55659,,,,,,
8710000US0693218,"ZCTA5 93218, California",93218,994,,,,,,
8710000US0693220,"ZCTA5 93220, California",93220,211,,,,,,
8710000US0693221,"ZCTA5 93221, California",93221,14945,,,,,,
8710000US0693222,"ZCTA5 93222, California",93222,2099,,,,,,
8710000US0693223,"ZCTA5 93223, California",93223,10604,,,,,,
8710000US0693224,"ZCTA5 93224, California",93224,451,,,,,,
8710000US0693225,"ZCTA5 93225, California",93225,5077,,,,,,
8710000US0693226,"ZCTA5 93226, California",93226,282,,,,,,
8710000US0693230,"ZCTA5 93230, California",93230,65264,,,,,,
8710000US0693234,"ZCTA5 93234, California",93234,6987,,,,,,
8710000US0693235,"ZCTA5 93235, California",93235,4559,,,,,,
8710000US0693238,"ZCTA5 93238, California",93238,1490,,,,,,
8710000US0693239,"ZCTA5 93239, California",93239,1688,,,,,,
8710000US0693240,"ZCTA5 93240, California",93240,6056,,,,,,
8710000US0693241,"ZCTA5 93241, California",93241,17489,,,,,,
8710000US0693242,"ZCTA5 93242, California",93242,3468,,,,,,
8710000US0693243,"ZCTA5 93243, California",93243,1699,,,,,,
8710000US0693244,"ZCTA5 93244, California",93244,534,,,,,,
8710000US0693245,"ZCTA5 93245, California",93245,37412,,,,,,
8710000US0693247,"ZCTA5 93247, California",93247,17423,,,,,,
8710000US0693249,"ZCTA5 93249, California",93249,2739,,,,,,
8710000US0693250,"ZCTA5 93250, California",93250,13522,,,,,,
8710000US0693251,"ZCTA5 93251, California",93251,270,,,,,,
8710000US0693252,"ZCTA5 93252, California",93252,4176,,,,,,
8710000US0693254,"ZCTA5 93254, California",93254,811,,,,,,
8710000US0693255,"ZCTA5 93255, California",93255,614,,,,,,
8710000US0693256,"ZCTA5 93256, California",93256,5753,,,,,,
8710000US0693257,"ZCTA5 93257, California",93257,75004,,,,,,
8710000US0693258,"ZCTA5 93258, California",93258,2046,,,,,,
8710000US0693260,"ZCTA5 93260, California",93260,200,,,,,,
8710000US0693261,"ZCTA5 93261, California",93261,3099,,,,,,
8710000US0693262,"ZCTA5 93262, California",93262,63,,,,,,
8710000US0693263,"ZCTA5 93263, California",93263,19582,,,,,,
8710000US0689061,"ZCTA5 89061 (part), California",89061,51,,,,,,
8710000US0689010,"ZCTA5 89010 (part), California",89010,31,,,,,,
8710000US0689019,"ZCTA5 89019 (part), California",89019,69,,,,,,
8710000US0689060,"ZCTA5 89060 (part), California",89060,30,,,,,,
8710000US0693265,"ZCTA5 93265, California",93265,3699,,,,,,
8710000US0689439,"ZCTA5 89439 (part), California",89439,80,,,,,,
8710000US0690001,"ZCTA5 90001, California",90001,57110,,,,,,
8710000US0690002,"ZCTA5 90002, California",90002,51223,,,,,,
8710000US0690003,"ZCTA5 90003, California",90003,66266,,,,,,
8710000US0690004,"ZCTA5 90004, California",90004,62180,,,,,,
8710000US0690005,"ZCTA5 90005, California",90005,37681,,,,,,
8710000US0690006,"ZCTA5 90006, California",90006,59185,,,,,,
8710000US0690007,"ZCTA5 90007, California",90007,40920,,,,,,
8710000US0690008,"ZCTA5 90008, California",90008,32327,,,,,,
8710000US0690010,"ZCTA5 90010, California",90010,3800,,,,,,
8710000US0690011,"ZCTA5 90011, California",90011,103892,,,,,,
8710000US0690012,"ZCTA5 90012, California",90012,31103,,,,,,
8710000US0690013,"ZCTA5 90013, California",90013,11772,,,,,,
8710000US0690014,"ZCTA5 90014, California",90014,7005,,,,,,
8710000US0690015,"ZCTA5 90015, California",90015,18986,,,,,,
8710000US0690016,"ZCTA5 90016, California",90016,47596,,,,,,
8710000US0690017,"ZCTA5 90017, California",90017,23768,,,,,,
8710000US0690018,"ZCTA5 90018, California",90018,49310,,,,,,
8710000US0690019,"ZCTA5 90019, California",90019,64458,,,,,,
8710000US0690020,"ZCTA5 90020, California",90020,38967,,,,,,
8710000US0690021,"ZCTA5 90021, California",90021,3951,,,,,,
8710000US0690022,"ZCTA5 90022, California",90022,67179,,,,,,
8710000US0690023,"ZCTA5 90023, California",90023,45903,,,,,,
8710000US0690024,"ZCTA5 90024, California",90024,47452,,,,,,
8710000US0690025,"ZCTA5 90025, California",90025,42147,,,,,,
8710000US0690026,"ZCTA5 90026, California",90026,67869,,,,,,
8710000US0690027,"ZCTA5 90027, California",90027,45151,,,,,,
8710000US0690028,"ZCTA5 90028, California",90028,28714,,,,,,
8710000US0690029,"ZCTA5 90029, California",90029,38617,,,,,,
8710000US0690031,"ZCTA5 90031, California",90031,39316,,,,,,
8710000US0690035,"ZCTA5 90035, California",90035,28418,,,,,,
8710000US0690032,"ZCTA5 90032, California",90032,45786,,,,,,
8710000US0690033,"ZCTA5 90033, California",90033,48852,,,,,,
8710000US0690034,"ZCTA5 90034, California",90034,57964,,,,,,
8710000US0690036,"ZCTA5 90036, California",90036,36865,,,,,,
8710000US0690037,"ZCTA5 90037, California",90037,62276,,,,,,
8710000US0690038,"ZCTA5 90038, California",90038,28917,,,,,,
8710000US0690039,"ZCTA5 90039, California",90039,28514,,,,,,
8710000US0690040,"ZCTA5 90040, California",90040,12520,,,,,,
8710000US0690041,"ZCTA5 90041, California",90041,27425,,,,,,
8710000US0690042,"ZCTA5 90042, California",90042,62430,,,,,,
8710000US0690043,"ZCTA5 90043, California",90043,44789,,,,,,
8710000US0690044,"ZCTA5 90044, California",90044,89779,,,,,,
8710000US0690045,"ZCTA5 90045, California",90045,39480,,,,,,
8710000US0690046,"ZCTA5 90046, California",90046,48581,,,,,,
8710000US0690047,"ZCTA5 90047, California",90047,48606,,,,,,
8710000US0690048,"ZCTA5 90048, California",90048,21397,,,,,,
8710000US0690049,"ZCTA5 90049, California",90049,35482,,,,,,
8710000US0690056,"ZCTA5 90056, California",90056,7827,,,,,,
8710000US0690057,"ZCTA5 90057, California",90057,44998,,,,,,
8710000US0691381,"ZCTA5 91381, California",91381,20158,,,,,,
8710000US0691384,"ZCTA5 91384, California",91384,29855,,,,,,
8710000US0691387,"ZCTA5 91387, California",91387,40328,,,,,,
8710000US0691390,"ZCTA5 91390, California",91390,19786,,,,,,
8710000US0691401,"ZCTA5 91401, California",91401,39285,,,,,,
8710000US0691406,"ZCTA5 91406, California",91406,51558,,,,,,
8710000US0691402,"ZCTA5 91402, California",91402,69817,,,,,,
8710000US0691403,"ZCTA5 91403, California",91403,23484,,,,,,
8710000US0691405,"ZCTA5 91405, California",91405,51145,,,,,,
8710000US0691411,"ZCTA5 91411, California",91411,24628,,,,,,
8710000US0691423,"ZCTA5 91423, California",91423,30991,,,,,,
8710000US0691436,"ZCTA5 91436, California",91436,14372,,,,,,
8710000US0691501,"ZCTA5 91501, California",91501,20849,,,,,,
8710000US0691502,"ZCTA5 91502, California",91502,11371,,,,,,
8710000US0691504,"ZCTA5 91504, California",91504,24939,,,,,,
8710000US0690058,"ZCTA5 90058, California",90058,3223,,,,,,
8710000US0690059,"ZCTA5 90059, California",90059,40952,,,,,,
8710000US0690061,"ZCTA5 90061, California",90061,26872,,,,,,
8710000US0690062,"ZCTA5 90062, California",90062,32821,,,,,,
8710000US0690063,"ZCTA5 90063, California",90063,55758,,,,,,
8710000US0690064,"ZCTA5 90064, California",90064,25403,,,,,,
8710000US0690065,"ZCTA5 90065, California",90065,45527,,,,,,
8710000US0690066,"ZCTA5 90066, California",90066,55277,,,,,,
8710000US0690067,"ZCTA5 90067, California",90067,2424,,,,,,
8710000US0690068,"ZCTA5 90068, California",90068,22286,,,,,,
8710000US0690077,"ZCTA5 90077, California",90077,9377,,,,,,
8710000US0690069,"ZCTA5 90069, California",90069,20483,,,,,,
8710000US0690071,"ZCTA5 90071, California",90071,15,,,,,,
8710000US0690073,"ZCTA5 90073, California",90073,539,,,,,,
8710000US0690079,"ZCTA5 90079, California",90079,0,,,,,,
8710000US0690089,"ZCTA5 90089, California",90089,3217,,,,,,
8710000US0690090,"ZCTA5 90090, California",90090,0,,,,,,
8710000US0690094,"ZCTA5 90094, California",90094,5464,,,,,,
8710000US0690095,"ZCTA5 90095, California",90095,3,,,,,,
8710000US0690201,"ZCTA5 90201, California",90201,101279,,,,,,
8710000US0690210,"ZCTA5 90210, California",90210,21741,,,,,,
8710000US0690211,"ZCTA5 90211, California",90211,8434,,,,,,
8710000US0690212,"ZCTA5 90212, California",90212,11555,,,,,,
8710000US0690220,"ZCTA5 90220, California",90220,49328,,,,,,
8710000US0690221,"ZCTA5 90221, California",90221,53704,,,,,,
8710000US0690222,"ZCTA5 90222, California",90222,31869,,,,,,
8710000US0690230,"ZCTA5 90230, California",90230,31766,,,,,,
8710000US0690232,"ZCTA5 90232, California",90232,15149,,,,,,
8710000US0690240,"ZCTA5 90240, California",90240,25876,,,,,,
8710000US0690241,"ZCTA5 90241, California",90241,42399,,,,,,
8710000US0690242,"ZCTA5 90242, California",90242,43497,,,,,,
8710000US0690245,"ZCTA5 90245, California",90245,16654,,,,,,
8710000US0690247,"ZCTA5 90247, California",90247,47487,,,,,,
8710000US0690248,"ZCTA5 90248, California",90248,9947,,,,,,
8710000US0690249,"ZCTA5 90249, California",90249,26669,,,,,,
8710000US0690250,"ZCTA5 90250, California",90250,93193,,,,,,
8710000US0690254,"ZCTA5 90254, California",90254,19506,,,,,,
8710000US0690255,"ZCTA5 90255, California",90255,75066,,,,,,
8710000US0691505,"ZCTA5 91505, California",91505,30778,,,,,,
8710000US0691506,"ZCTA5 91506, California",91506,18904,,,,,,
8710000US0691601,"ZCTA5 91601, California",91601,37180,,,,,,
8710000US0691602,"ZCTA5 91602, California",91602,17473,,,,,,
8710000US0691604,"ZCTA5 91604, California",91604,29034,,,,,,
8710000US0691605,"ZCTA5 91605, California",91605,56343,,,,,,
